epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,322.19,0.90076,0.48841,0.88772,0.94956,0.9618,0.96327,0.58722,1.30709,0.65863,1.00882,0.000117079,0.000117079,0.000117079
90,325.616,0.86132,0.48001,0.86781,0.94497,0.95408,0.9546,0.59191,1.30484,0.65112,1.00676,0.00010808,0.00010808,0.00010808
91,360.627,0.90954,0.51988,0.8972,0.94627,0.95276,0.95149,0.59388,1.28805,0.64425,1.00263,9.9081e-05,9.9081e-05,9.9081e-05
92,364.76,0.90659,0.50595,0.90789,0.94687,0.95256,0.94886,0.60404,1.27196,0.64345,1.00216,9.00819e-05,9.00819e-05,9.00819e-05
93,368.132,0.88574,0.50983,0.88951,0.94636,0.95292,0.94766,0.59843,1.27204,0.64291,1.01004,8.10828e-05,8.10828e-05,8.10828e-05
94,371.609,0.87517,0.4914,0.89109,0.94422,0.95351,0.94758,0.59949,1.27811,0.64396,1.02294,7.20837e-05,7.20837e-05,7.20837e-05
95,375.2,0.84723,0.48103,0.88709,0.94275,0.95438,0.94835,0.60363,1.27973,0.64823,1.02562,6.30846e-05,6.30846e-05,6.30846e-05
96,378.658,0.8241,0.48442,0.87918,0.94105,0.95485,0.94859,0.60515,1.28489,0.66015,1.02464,5.40855e-05,5.40855e-05,5.40855e-05
97,382.134,0.82129,0.4611,0.87399,0.94073,0.95475,0.9496,0.60324,1.29628,0.6592,1.03348,4.50864e-05,4.50864e-05,4.50864e-05
98,385.518,0.85621,0.48569,0.87312,0.94034,0.95417,0.94952,0.60034,1.30205,0.67004,1.03578,3.60873e-05,3.60873e-05,3.60873e-05
99,388.88,0.85781,0.48148,0.88819,0.94036,0.94804,0.94868,0.59655,1.3006,0.66743,1.03403,2.70882e-05,2.70882e-05,2.70882e-05
100,392.28,0.83404,0.46536,0.87525,0.94103,0.94781,0.94826,0.59672,1.29939,0.66741,1.03271,1.80891e-05,1.80891e-05,1.80891e-05
